Paralelo	10	2	0.023140	154	1	25675
Sequencial	10	2	0.033744	154	1	26538
Paralelo	10	2	0.025836	196	1	24647
Sequencial	10	2	0.028970	196	1	23494
Paralelo	10	2	0.027088	196	1	26590
Sequencial	10	2	0.029240	196	1	23494
Paralelo	10	2	0.011841	193	1	9565
Sequencial	10	2	0.014115	193	1	11389
Paralelo	10	2	0.001707	127	1	1361
Sequencial	10	2	0.001780	127	1	1287
Paralelo	10	2	0.004901	126	1	4916
Sequencial	10	2	0.008034	126	1	5152
Paralelo	10	2	0.003556	117	1	2836
Sequencial	10	2	0.002680	117	1	2248
Paralelo	11	2	0.043362	174	1	40478
Sequencial	11	2	0.064089	174	1	47255
Paralelo	11	2	0.037148	181	1	32524
Sequencial	11	2	0.048327	181	1	37059
Paralelo	11	2	0.016056	112	1	13022
Sequencial	11	2	0.017653	112	1	12765
Paralelo	11	2	0.015749	117	1	13849
Sequencial	11	2	0.016737	117	1	12596
Paralelo	11	2	0.013845	148	1	12273
Sequencial	11	2	0.027600	148	1	21136
Paralelo	11	2	0.016770	148	1	12633
Sequencial	11	2	0.027584	148	1	21136
Paralelo	11	2	0.007615	122	1	4261
Sequencial	11	2	0.015739	122	1	10514
Paralelo	11	2	0.021531	158	1	20330
Sequencial	11	2	0.024121	158	1	16459
Paralelo	11	2	0.014477	147	1	11500
Sequencial	11	2	0.015221	147	1	11432
Paralelo	12	2	0.062980	154	1	63635
Sequencial	12	2	0.080363	154	1	57241
Paralelo	12	2	0.016361	114	1	15695
Sequencial	12	2	0.016166	114	1	11852
Paralelo	12	2	0.017997	114	1	17717
Sequencial	12	2	0.017311	114	1	11852
Paralelo	12	2	0.059241	192	1	53877
Sequencial	12	2	0.058968	192	1	43570
Paralelo	12	2	0.058461	192	1	56565
Sequencial	12	2	0.061293	192	1	43570
Paralelo	12	2	0.087237	158	1	77882
Sequencial	12	2	0.106709	158	1	76733
Paralelo	12	2	0.057181	176	1	45007
Sequencial	12	2	0.073062	176	1	51783
Paralelo	12	2	0.049697	176	1	44658
Sequencial	12	2	0.071120	176	1	51783
Paralelo	12	2	0.255877	179	1	242985
Sequencial	12	2	0.282691	179	1	206331
Paralelo	13	2	0.470710	172	1	450613
Sequencial	13	2	0.653174	172	1	463893
Paralelo	13	2	0.252718	141	1	239938
Sequencial	13	2	0.308672	141	1	218933
Paralelo	13	2	0.060734	104	1	51429
Sequencial	13	2	0.059192	104	1	41025
Paralelo	13	2	0.076798	166	0	73297
Sequencial	13	2	0.218360	166	0	150988
Paralelo	13	2	0.557160	156	1	554878
Sequencial	13	2	0.617132	156	1	436354
Paralelo	13	2	0.187077	140	1	190172
Sequencial	13	2	0.255065	140	1	179377
Paralelo	13	2	0.136492	137	1	126419
Sequencial	13	2	0.240680	137	1	168395
Paralelo	13	2	0.134737	175	1	115655
Sequencial	13	2	0.154034	175	1	107558
Paralelo	13	2	0.387561	123	1	357224
Sequencial	13	2	0.424847	123	1	301498
Paralelo	13	2	0.024386	124	1	18260
Sequencial	13	2	0.046291	124	1	30593
Paralelo	13	2	0.346814	177	1	360772
Sequencial	13	2	0.439145	177	1	309472
Paralelo	13	2	0.196083	159	1	182573
Sequencial	13	2	0.365144	159	1	256137
Paralelo	14	2	0.301868	125	1	296802
Sequencial	14	2	0.473134	125	1	319413
Paralelo	14	2	1.469224	158	1	1411011
Sequencial	14	2	1.371347	158	1	935719
Paralelo	14	2	1.780423	203	1	1538693
Sequencial	14	2	1.875696	203	1	1275700
Paralelo	14	2	0.309463	113	1	310443
Sequencial	14	2	0.340507	113	1	229802
Paralelo	14	2	0.258140	145	1	254259
Sequencial	14	2	0.345926	145	1	233218
Paralelo	14	2	1.377110	204	1	1359002
Sequencial	14	2	2.730638	204	1	1838058
Paralelo	15	2	0.497074	161	1	478856
Sequencial	15	2	0.572906	161	1	370632
Paralelo	15	2	2.819816	165	1	2702215
Sequencial	15	2	4.483276	165	1	2925417
Paralelo	15	2	0.710823	150	1	668669
Sequencial	15	2	0.800236	150	1	515571
Paralelo	15	2	3.832302	198	1	3408592
Sequencial	15	2	5.927827	198	1	3868920
Paralelo	15	2	0.768010	136	1	644751
Sequencial	15	2	1.656011	136	1	1077146
Paralelo	15	2	0.429373	120	1	416923
Sequencial	15	2	0.656080	120	1	421514
Paralelo	16	2	5.460949	128	1	4879737
Sequencial	16	2	21.910091	128	1	6097503
Paralelo	16	2	3.164688	151	1	2871333
Sequencial	16	2	4.515437	151	1	2843939
Paralelo	16	2	3.035248	139	1	2865946
Sequencial	16	2	6.673061	139	1	4188118
Paralelo	16	2	3.484556	159	1	3269139
Sequencial	16	2	4.932838	159	1	3132575
Paralelo	16	2	1.077741	114	1	968590
Sequencial	16	2	1.498008	114	1	943824
Paralelo	16	2	1.030480	108	1	935978
Sequencial	16	2	1.440346	108	1	919110
